CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"130014 APUI";18;18;18;18;20;20;20;20;20;20;20;20
"130020 ATALAIA DO NORTE";12;12;10;12;12;12;12;12;12;12;11;10
"130030 AUTAZES";37;37;37;37;37;37;37;37;37;37;39;39
"130040 BARCELOS";13;13;13;13;13;14;14;14;14;15;15;15
"130050 BARREIRINHA";20;20;20;20;20;21;21;21;21;21;21;21
"130060 BENJAMIN CONSTANT";21;22;21;21;21;26;26;26;26;26;26;26
"130063 BERURI";10;10;10;10;10;10;10;10;10;10;10;10
"130068 BOA VISTA DO RAMOS";12;12;12;11;13;13;13;13;13;13;13;13
"130070 BOCA DO ACRE";21;21;21;21;22;22;22;22;22;22;22;22
"130080 BORBA";26;26;26;26;26;26;26;26;26;26;26;26
"130083 CAAPIRANGA";12;12;12;12;12;12;12;12;12;12;13;13
"130090 CANUTAMA";10;10;10;10;10;10;10;10;10;10;10;10
"130100 CARAUARI";13;13;13;13;13;13;14;14;14;14;14;14
"130110 CAREIRO";30;30;30;33;33;33;33;33;33;33;33;33
"130115 CAREIRO DA VARZEA";21;21;21;21;21;21;21;21;21;21;21;21
"130120 COARI";49;49;49;48;53;53;53;54;54;54;54;54
"130130 CODAJAS";19;19;19;19;20;23;23;20;23;23;23;23
"130140 EIRUNEPE";23;23;23;23;23;23;23;23;23;23;23;23
"130150 ENVIRA";15;15;15;15;15;15;15;15;15;15;15;16
"130160 FONTE BOA";23;23;23;23;23;23;23;23;23;23;23;23
"130165 GUAJARA";15;15;15;15;15;14;15;15;15;15;15;15
"130170 HUMAITA";32;32;32;32;32;32;32;41;41;41;41;41
"130180 IPIXUNA";14;14;14;15;16;16;17;17;18;18;18;18
"130185 IRANDUBA";53;53;53;53;53;53;53;53;53;53;53;53
"130190 ITACOATIARA";62;62;62;62;62;62;62;63;63;65;65;69
"130195 ITAMARATI";9;9;9;9;9;9;9;9;9;9;9;9
"130200 ITAPIRANGA";9;9;9;9;9;9;9;9;9;9;9;9
"130210 JAPURA";12;12;12;12;12;12;12;12;12;12;12;12
"130220 JURUA";10;10;10;10;10;12;12;12;12;12;12;12
"130230 JUTAI";18;18;18;18;18;19;19;18;18;18;18;19
"130240 LABREA";44;44;44;43;44;44;45;45;45;45;45;45
"130250 MANACAPURU";56;56;56;56;56;56;56;56;56;56;56;57
"130255 MANAQUIRI";13;13;13;13;13;15;16;16;16;16;16;16
"130260 MANAUS";749;740;733;730;738;784;784;788;792;800;799;812
"130270 MANICORE";38;38;38;38;38;39;39;39;39;39;39;39
"130280 MARAA";13;13;13;13;13;14;14;14;14;14;14;14
"130290 MAUES";32;32;31;31;33;33;33;33;35;40;40;49
"130300 NHAMUNDA";17;17;17;17;17;17;17;17;18;18;18;18
"130310 NOVA OLINDA DO NORTE";25;25;25;25;25;25;26;26;26;26;27;28
"130320 NOVO AIRAO";11;11;11;11;11;11;11;11;11;11;11;11
"130330 NOVO ARIPUANA";14;14;14;14;14;14;15;15;15;15;15;15
"130340 PARINTINS";63;63;62;62;63;63;63;63;64;64;64;64
"130350 PAUINI";9;9;9;9;9;9;9;9;9;9;9;9
"130353 PRESIDENTE FIGUEIREDO";28;28;28;29;29;29;29;29;29;30;30;30
"130356 RIO PRETO DA EVA";27;27;27;27;27;27;27;27;27;27;27;27
"130360 SANTA ISABEL DO RIO NEGRO";11;9;9;10;10;11;11;12;12;11;12;13
"130370 SANTO ANTONIO DO ICA";24;24;24;24;24;24;24;19;24;24;24;24
"130380 SAO GABRIEL DA CACHOEIRA";33;34;34;34;34;34;31;35;34;34;34;34
"130390 SAO PAULO DE OLIVENCA";30;30;30;30;30;26;29;29;30;30;30;30
"130395 SAO SEBASTIAO DO UATUMA";12;12;12;12;12;12;12;12;12;12;12;12
"130400 SILVES";11;11;11;11;11;11;11;11;11;11;11;11
"130406 TABATINGA";39;39;39;39;39;39;39;39;39;39;39;39
"130410 TAPAUA";17;16;16;16;16;16;16;16;16;16;16;16
"130420 TEFE";44;44;44;46;46;46;46;46;46;44;44;44
"130423 TONANTINS";17;17;18;18;18;18;18;18;18;18;18;18
"130426 UARINI";11;11;11;11;12;12;12;12;12;12;12;12
"130430 URUCARA";15;15;15;15;15;15;15;16;16;16;16;16
"130440 URUCURITUBA";19;19;19;19;19;19;19;19;19;19;19;19
"140002 AMAJARI";14;14;14;14;14;14;14;15;15;15;15;15
"140005 ALTO ALEGRE";19;19;19;19;19;19;19;19;19;19;19;19
"140010 BOA VISTA";93;93;93;91;95;221;220;205;207;207;210;210
"140015 BONFIM";16;15;15;15;15;15;16;16;16;16;16;16
"140017 CANTA";18;18;18;18;19;19;20;20;20;20;20;20
"140020 CARACARAI";24;24;24;24;24;24;24;24;24;24;24;24
"140023 CAROEBE";8;8;8;8;8;10;10;10;10;10;10;10
"140028 IRACEMA";11;11;11;11;11;11;11;11;11;11;11;11
"140030 MUCAJAI";17;17;17;19;19;20;20;20;20;20;20;20
"140040 NORMANDIA";23;23;23;23;23;23;22;22;22;23;23;23
"140045 PACARAIMA";13;13;13;13;13;13;13;13;13;13;13;14
"140047 RORAINOPOLIS";23;23;23;23;23;23;23;23;23;23;23;23
"140050 SAO JOAO DA BALIZA";7;7;7;7;7;7;7;7;7;7;7;7
"140060 SAO LUIZ";7;7;7;7;7;7;7;7;7;7;6;8
"140070 UIRAMUTA";11;10;11;11;11;10;10;10;10;11;12;12
"150010 ABAETETUBA";69;69;70;72;72;74;74;74;74;74;74;74
"150013 ABEL FIGUEIREDO";6;6;6;6;6;6;6;6;6;6;6;6
"150020 ACARA";25;25;25;25;25;25;25;25;27;27;27;28
"150030 AFUA";12;12;12;12;12;14;14;17;17;17;17;18
"150034 AGUA AZUL DO NORTE";15;15;15;15;17;19;19;19;20;20;20;23
"150040 ALENQUER";15;15;15;15;15;16;16;16;16;16;16;16
"150050 ALMEIRIM";17;17;17;17;17;17;17;16;16;16;16;17
"150060 ALTAMIRA";50;50;50;50;50;50;51;51;47;48;48;48
"150070 ANAJAS";11;11;11;11;13;14;14;14;12;12;12;12
"150080 ANANINDEUA";204;204;204;203;196;204;204;204;204;203;203;203
"150085 ANAPU";15;15;15;15;18;22;22;20;15;15;17;18
"150090 AUGUSTO CORREA";39;39;39;39;39;41;45;46;46;46;46;46
"150095 AURORA DO PARA";20;20;19;19;19;19;20;20;20;20;20;20
"150100 AVEIRO";7;7;7;7;7;7;7;7;7;7;7;7
"150110 BAGRE";13;14;14;14;14;14;14;14;17;17;17;16
"150120 BAIAO";17;16;17;17;17;17;17;17;17;17;17;17
"150125 BANNACH";6;6;6;6;6;6;6;6;6;6;6;6
"150130 BARCARENA";63;63;63;63;63;67;67;67;67;67;67;74
"150140 BELEM";332;332;332;332;332;335;346;366;376;411;434;605
"150145 BELTERRA";13;13;13;13;13;16;16;16;16;16;16;16
"150150 BENEVIDES";49;49;49;52;50;52;52;52;57;59;57;57
"150157 BOM JESUS DO TOCANTINS";13;13;13;13;13;13;13;13;13;13;13;13
"150160 BONITO";15;15;14;14;14;16;16;16;16;16;16;16
"150170 BRAGANCA";112;112;113;121;122;130;135;139;139;139;139;139
"150172 BRASIL NOVO";13;13;13;13;13;13;13;13;13;13;13;13
"150175 BREJO GRANDE DO ARAGUAIA";9;9;9;9;9;9;9;9;9;9;9;9
"150178 BREU BRANCO";25;25;25;25;25;25;25;25;26;27;27;28
"150180 BREVES";37;37;37;37;39;40;40;41;41;43;49;50
"150190 BUJARU";19;19;19;19;21;22;22;22;22;22;22;22
"150195 CACHOEIRA DO PIRIA";24;24;24;24;24;24;24;24;24;24;24;24
"150200 CACHOEIRA DO ARARI";6;6;6;6;6;6;6;6;6;6;6;6
"150210 CAMETA";61;61;61;61;61;61;61;61;61;61;61;61
"150215 CANAA DOS CARAJAS";27;27;27;27;27;27;27;27;33;33;33;33
"150220 CAPANEMA";50;50;51;51;51;51;51;51;51;51;51;51
"150230 CAPITAO POCO";33;33;33;33;33;35;35;35;35;35;35;35
"150240 CASTANHAL";94;94;94;103;103;103;111;111;111;111;111;111
"150250 CHAVES";11;11;11;11;11;11;11;11;11;11;11;11
"150260 COLARES";12;12;12;12;12;12;12;12;12;12;12;12
"150270 CONCEICAO DO ARAGUAIA";28;28;28;28;28;28;28;29;27;27;29;29
"150275 CONCORDIA DO PARA";16;16;16;16;16;19;19;20;20;20;20;20
"150276 CUMARU DO NORTE";10;10;10;10;10;10;10;10;10;10;10;10
"150277 CURIONOPOLIS";15;15;15;15;15;15;15;15;15;15;15;15
"150280 CURRALINHO";11;11;11;12;17;17;17;17;17;18;18;18
"150285 CURUA";8;8;8;8;8;10;10;10;10;10;10;10
"150290 CURUCA";23;23;23;23;23;23;23;23;23;23;23;23
"150293 DOM ELISEU";31;31;28;28;28;28;28;28;28;28;28;28
"150295 ELDORADO DOS CARAJAS";13;13;13;16;16;16;18;17;17;17;19;19
"150300 FARO";7;7;7;7;7;9;9;9;9;9;9;9
"150304 FLORESTA DO ARAGUAIA";13;13;13;13;13;13;14;14;14;14;14;14
"150307 GARRAFAO DO NORTE";20;20;20;20;20;20;20;20;20;20;20;20
"150309 GOIANESIA DO PARA";18;18;18;18;19;19;19;19;19;19;20;20
"150310 GURUPA";16;16;16;16;16;16;16;16;16;16;16;16
"150320 IGARAPE-ACU";31;31;31;31;31;33;33;32;32;32;30;30
"150330 IGARAPE-MIRI";20;20;20;20;20;20;20;20;20;20;20;20
"150340 INHANGAPI";12;11;11;11;11;11;12;12;12;12;12;12
"150345 IPIXUNA DO PARA";19;19;21;21;21;22;22;25;25;25;27;27
"150350 IRITUIA";20;20;20;20;20;22;22;26;26;26;26;26
"150360 ITAITUBA";36;36;36;37;38;38;38;38;38;38;38;38
"150370 ITUPIRANGA";34;34;34;34;34;34;34;34;34;34;34;34
"150375 JACAREACANGA";9;9;8;9;9;9;9;9;8;8;8;8
"150380 JACUNDA";22;22;22;22;22;22;22;22;27;27;27;27
"150390 JURUTI";25;25;25;25;26;26;26;26;25;25;26;26
"150400 LIMOEIRO DO AJURU";14;14;14;14;15;16;16;16;16;16;16;16
