CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"231130 QUIXADA";50;50;51;51;51;52;52;52;52;52;52;52
"231135 QUIXELO";16;16;16;16;16;16;16;16;16;17;17;17
"231140 QUIXERAMOBIM";52;52;52;52;52;52;52;53;56;56;55;55
"231150 QUIXERE";23;23;23;23;23;24;24;24;24;24;24;24
"231160 REDENCAO";32;32;32;32;32;32;32;32;32;32;32;32
"231170 RERIUTABA";16;16;16;16;17;20;20;20;20;20;20;20
"231180 RUSSAS";47;48;48;48;48;48;52;52;54;54;45;45
"231190 SABOEIRO";15;15;15;15;17;17;17;17;17;17;17;17
"231195 SALITRE";15;15;15;15;16;17;17;17;17;17;17;17
"231200 SANTANA DO ACARAU";24;24;24;24;24;25;25;25;25;25;25;25
"231210 SANTANA DO CARIRI";15;15;15;15;15;15;15;15;15;16;16;16
"231220 SANTA QUITERIA";32;33;33;33;33;36;36;36;36;36;36;36
"231230 SAO BENEDITO";38;38;38;38;38;38;38;38;38;38;38;38
"231240 SAO GONCALO DO AMARANTE";51;51;52;52;54;55;55;55;55;55;55;55
"231250 SAO JOAO DO JAGUARIBE";9;9;9;9;9;9;9;9;9;9;9;9
"231260 SAO LUIS DO CURU";10;10;10;10;10;11;11;11;11;11;11;11
"231270 SENADOR POMPEU";24;24;24;26;26;27;27;27;27;29;29;29
"231280 SENADOR SA";8;8;8;9;9;9;9;9;9;9;9;9
"231290 SOBRAL";146;146;146;146;146;147;145;146;146;146;146;146
"231300 SOLONOPOLE";17;17;17;17;18;18;18;18;18;18;18;18
"231310 TABULEIRO DO NORTE";25;25;27;29;29;31;31;31;31;31;31;31
"231320 TAMBORIL";29;29;29;29;30;30;30;30;30;30;30;30
"231325 TARRAFAS";9;9;9;9;9;9;9;9;9;9;9;9
"231330 TAUA";50;50;50;50;50;55;55;55;57;57;57;57
"231335 TEJUCUOCA";18;18;18;18;18;18;19;19;19;19;19;19
"231340 TIANGUA";45;45;45;46;46;46;49;49;49;50;50;50
"231350 TRAIRI";44;45;45;45;45;45;47;47;47;47;47;47
"231355 TURURU";13;13;13;13;13;13;13;13;13;13;13;13
"231360 UBAJARA";33;33;34;34;34;34;34;34;34;34;34;34
"231370 UMARI";10;10;10;10;10;10;10;10;10;10;10;10
"231375 UMIRIM";13;13;13;13;13;13;14;14;14;15;16;16
"231380 URUBURETAMA";20;20;20;20;20;20;20;20;20;20;20;20
"231390 URUOCA";15;15;15;15;16;17;17;17;17;17;17;17
"231395 VARJOTA";16;16;16;16;19;19;20;20;19;19;19;19
"231400 VARZEA ALEGRE";28;28;28;28;28;29;29;29;29;32;32;32
"231410 VICOSA DO CEARA";39;39;39;39;39;39;39;39;39;39;38;38
"240010 ACARI";11;11;11;11;11;11;11;11;11;11;11;11
"240020 ACU";35;37;38;38;38;40;40;40;40;40;40;40
"240030 AFONSO BEZERRA";11;11;11;11;11;11;11;11;11;11;11;11
"240040 AGUA NOVA";5;5;5;5;5;5;5;5;5;5;5;5
"240050 ALEXANDRIA";15;15;15;15;15;15;15;15;15;15;15;15
"240060 ALMINO AFONSO";5;5;5;5;5;5;5;5;5;5;5;5
"240070 ALTO DO RODRIGUES";12;12;12;12;12;12;12;12;12;12;12;12
"240080 ANGICOS";11;11;11;11;13;13;13;13;13;13;13;13
"240090 ANTONIO MARTINS";9;9;9;9;9;9;9;9;9;9;9;9
"240100 APODI";25;25;25;25;25;25;25;25;25;25;25;28
"240110 AREIA BRANCA";19;19;19;18;18;18;18;18;18;18;18;18
"240120 ARES";13;13;13;13;13;13;13;13;13;13;13;13
"240130 AUGUSTO SEVERO";7;7;7;7;7;7;7;7;7;7;7;7
"240140 BAIA FORMOSA";8;8;8;8;9;9;9;9;9;9;10;10
"240145 BARAUNA";24;24;24;24;24;24;26;30;31;32;32;32
"240150 BARCELONA";5;5;5;5;5;5;5;5;5;5;5;5
"240160 BENTO FERNANDES";4;4;4;4;4;4;4;4;4;4;4;4
"240165 BODO";2;2;2;2;2;2;2;2;2;2;2;2
"240170 BOM JESUS";9;9;9;9;9;10;10;10;10;10;10;11
"240180 BREJINHO";13;13;13;13;13;13;13;13;13;13;14;14
"240185 CAICARA DO NORTE";7;7;7;7;7;7;7;7;7;7;7;7
"240190 CAICARA DO RIO DO VENTO";5;5;5;5;5;5;5;5;5;5;5;5
"240200 CAICO";50;49;49;49;49;49;55;55;55;55;55;55
"240210 CAMPO REDONDO";10;10;10;10;10;10;10;10;10;10;10;10
"240220 CANGUARETAMA";30;30;30;30;30;30;30;30;30;30;31;31
"240230 CARAUBAS";19;19;19;19;20;21;21;22;24;24;24;24
"240240 CARNAUBA DOS DANTAS";7;7;7;7;7;7;7;7;7;7;7;7
"240250 CARNAUBAIS";9;9;9;9;10;10;10;10;10;10;10;10
"240260 CEARA-MIRIM";54;54;52;54;55;55;56;56;56;56;56;63
"240270 CERRO CORA";10;10;10;10;11;11;11;11;11;11;11;11
"240280 CORONEL EZEQUIEL";7;7;7;7;7;7;7;7;7;7;7;7
"240290 CORONEL JOAO PESSOA";5;5;5;5;5;5;5;5;5;5;5;5
"240300 CRUZETA";7;7;7;7;7;7;7;7;7;7;7;7
"240310 CURRAIS NOVOS";32;32;32;32;33;33;33;33;33;33;33;34
"240320 DOUTOR SEVERIANO";7;7;7;7;7;7;7;8;8;8;8;8
"240325 PARNAMIRIM";109;109;108;113;112;113;113;113;113;112;114;114
"240330 ENCANTO";7;7;7;7;7;7;7;7;7;7;7;7
"240340 EQUADOR";7;7;7;7;7;7;7;7;7;7;7;7
"240350 ESPIRITO SANTO";10;10;10;11;11;11;11;11;11;11;11;11
"240360 EXTREMOZ";25;25;25;25;25;27;27;27;27;26;26;26
"240370 FELIPE GUERRA";5;5;5;5;5;6;6;6;6;6;6;7
"240375 FERNANDO PEDROZA";5;5;5;5;5;5;5;5;5;5;5;5
"240380 FLORANIA";9;9;9;9;9;9;9;9;9;9;9;9
"240390 FRANCISCO DANTAS";3;3;3;3;3;3;3;3;3;3;3;3
"240400 FRUTUOSO GOMES";5;5;5;5;5;5;5;5;5;5;5;5
"240410 GALINHOS";3;3;3;3;3;3;3;3;3;3;3;3
"240420 GOIANINHA";29;29;29;29;29;30;30;30;30;30;30;30
"240430 GOVERNADOR DIX-SEPT ROSADO";11;11;11;11;11;11;11;11;11;11;11;11
"240440 GROSSOS";11;10;11;11;11;11;11;11;11;11;11;11
"240450 GUAMARE";17;17;17;17;17;17;17;17;17;17;17;17
"240460 IELMO MARINHO";13;13;13;13;13;13;13;13;13;13;13;13
"240470 IPANGUACU";13;14;14;14;14;14;14;14;14;14;14;14
"240480 IPUEIRA";3;3;3;3;3;3;3;2;2;2;2;2
"240485 ITAJA";9;9;9;9;9;9;9;9;9;9;9;9
"240490 ITAU";7;7;7;7;7;7;7;7;7;7;7;7
"240500 JACANA";7;7;7;7;7;7;7;7;7;7;7;7
"240510 JANDAIRA";7;7;7;7;7;7;7;7;7;7;7;7
"240520 JANDUIS";7;7;7;7;7;7;7;7;7;7;7;7
"240530 JANUARIO CICCO";9;9;9;9;9;9;9;9;9;9;9;10
"240540 JAPI";7;7;7;7;7;7;7;7;7;7;7;7
"240550 JARDIM DE ANGICOS";3;3;3;3;3;3;3;3;3;3;3;3
"240560 JARDIM DE PIRANHAS";12;12;12;12;12;15;15;15;15;15;15;15
"240570 JARDIM DO SERIDO";11;11;11;11;11;11;11;11;11;11;11;11
"240580 JOAO CAMARA";34;34;34;34;34;34;34;34;34;34;34;36
"240590 JOAO DIAS";3;3;3;3;3;3;3;3;3;3;3;3
"240600 JOSE DA PENHA";7;7;7;7;7;7;7;7;7;7;7;7
"240610 JUCURUTU";19;19;19;19;19;19;19;19;19;19;19;19
"240615 JUNDIA";4;4;4;4;4;4;5;5;5;5;5;5
"240620 LAGOA D'ANTA";7;7;7;7;7;7;7;7;7;7;7;7
"240630 LAGOA DE PEDRAS";9;9;9;9;9;9;9;9;9;9;9;9
"240640 LAGOA DE VELHOS";3;3;3;3;3;3;3;3;3;3;3;3
"240650 LAGOA NOVA";12;12;12;12;13;13;13;13;13;13;13;13
"240660 LAGOA SALGADA";9;9;9;9;9;9;9;9;9;9;9;9
"240670 LAJES";11;11;11;11;11;11;11;11;11;11;11;11
"240680 LAJES PINTADAS";4;4;4;4;4;4;4;4;6;6;6;6
"240690 LUCRECIA";5;5;5;5;5;5;5;5;5;5;5;5
"240700 LUIS GOMES";11;11;11;11;11;11;11;11;11;11;11;11
"240710 MACAIBA";53;53;53;53;53;54;55;55;58;59;59;59
"240720 MACAU";22;22;21;22;22;21;22;22;22;22;22;22
"240725 MAJOR SALES";5;5;5;5;5;5;5;5;5;5;5;5
"240730 MARCELINO VIEIRA";9;9;9;9;9;9;9;9;10;10;10;10
"240740 MARTINS";9;9;9;9;9;9;9;9;9;9;9;9
"240750 MAXARANGUAPE";12;12;12;12;12;12;12;12;12;12;12;12
"240760 MESSIAS TARGINO";5;5;5;5;5;5;5;5;5;5;5;5
"240770 MONTANHAS";13;13;13;13;13;13;13;13;13;13;13;13
"240780 MONTE ALEGRE";22;22;22;23;23;25;25;25;25;25;25;25
"240790 MONTE DAS GAMELEIRAS";3;3;3;3;3;3;3;3;3;3;3;3
"240800 MOSSORO";153;153;153;151;151;151;151;152;152;152;152;152
"240810 NATAL";320;322;322;322;323;323;323;320;319;323;323;324
"240820 NISIA FLORESTA";32;32;32;32;32;32;32;32;32;32;32;32
"240830 NOVA CRUZ";35;35;35;35;39;39;39;39;39;39;39;39
"240840 OLHO-D'AGUA DO BORGES";5;5;5;5;5;5;5;5;5;5;5;5
"240850 OURO BRANCO";5;5;5;5;5;5;5;5;5;5;5;5
"240860 PARANA";5;5;5;5;5;5;5;5;5;5;5;5
"240870 PARAU";5;5;5;5;5;5;5;5;5;5;5;5
"240880 PARAZINHO";7;7;7;7;7;7;7;7;7;7;7;7
"240890 PARELHAS";19;19;19;19;19;19;19;19;19;19;19;19
"240895 RIO DO FOGO";11;11;11;11;11;11;11;11;11;11;11;11
"240910 PASSA E FICA";13;13;13;13;13;13;13;13;13;13;13;14
"240920 PASSAGEM";4;4;4;4;4;4;4;4;4;4;5;5
"240930 PATU";13;13;13;13;13;13;13;13;13;13;13;13
"240933 SANTA MARIA";6;6;6;6;6;6;6;6;6;6;6;7
"240940 PAU DOS FERROS";29;29;29;29;29;30;30;30;30;30;30;30
"240950 PEDRA GRANDE";5;5;5;5;5;5;5;5;5;5;5;5
"240960 PEDRA PRETA";5;5;5;5;5;5;5;5;5;5;5;5
"240970 PEDRO AVELINO";9;9;9;9;9;9;9;9;9;9;9;9
"240980 PEDRO VELHO";15;15;15;15;15;15;15;15;15;15;15;15
"240990 PENDENCIAS";13;13;13;13;13;13;14;14;16;16;18;18
"241000 PILOES";5;5;5;5;5;5;5;5;5;5;5;5
"241010 POCO BRANCO";13;13;12;13;13;13;13;13;13;13;13;13
"241020 PORTALEGRE";9;9;9;9;9;9;9;10;10;10;10;10
"241025 PORTO DO MANGUE";5;5;5;5;5;5;6;6;6;6;6;6
"241030 SERRA CAIADA";11;11;11;11;11;11;11;11;11;11;11;11
"241040 PUREZA";10;10;10;10;11;11;11;11;11;11;11;11
"241050 RAFAEL FERNANDES";5;5;5;5;5;5;5;5;5;5;6;6
"241060 RAFAEL GODEIRO";5;5;5;5;5;5;5;5;5;5;5;5
"241070 RIACHO DA CRUZ";5;5;5;5;5;5;5;5;5;5;5;5
"241080 RIACHO DE SANTANA";5;5;5;5;5;5;5;5;5;5;5;5
"241090 RIACHUELO";9;9;9;9;9;9;9;9;9;9;9;9
"241100 RODOLFO FERNANDES";5;5;5;5;5;5;5;5;5;5;5;5
"241105 TIBAU";6;6;6;6;6;6;6;6;6;6;6;6
"241110 RUY BARBOSA";5;5;5;5;5;5;5;5;5;5;5;5
"241120 SANTA CRUZ";26;26;26;26;26;26;26;26;26;26;26;26
"241140 SANTANA DO MATOS";15;15;15;15;15;15;15;15;15;15;15;15
"241142 SANTANA DO SERIDO";3;3;3;3;3;3;3;3;3;3;3;3
"241150 SANTO ANTONIO";28;28;28;28;28;28;28;28;28;28;28;28
"241160 SAO BENTO DO NORTE";5;5;5;5;5;5;5;5;5;5;5;5
"241170 SAO BENTO DO TRAIRI";4;4;4;4;4;4;4;4;4;4;4;4
"241180 SAO FERNANDO";5;5;5;5;5;5;5;5;5;5;5;5
"241190 SAO FRANCISCO DO OESTE";5;5;5;5;5;5;5;5;5;5;5;5
"241200 SAO GONCALO DO AMARANTE";68;68;68;68;68;68;74;73;73;73;73;77
"241210 SAO JOAO DO SABUGI";7;7;7;7;7;7;7;7;7;7;7;7
"241220 SAO JOSE DE MIPIBU";49;49;49;49;49;49;51;51;51;51;51;51
"241230 SAO JOSE DO CAMPESTRE";13;13;13;13;13;13;13;13;13;13;13;13
"241240 SAO JOSE DO SERIDO";5;5;5;5;5;5;5;5;5;5;5;5
"241250 SAO MIGUEL";22;22;22;22;23;23;23;23;23;23;23;23
"241255 SAO MIGUEL DO GOSTOSO";10;10;10;10;10;10;10;10;10;10;10;10
"241260 SAO PAULO DO POTENGI";19;19;19;19;19;19;19;19;19;19;19;21
"241270 SAO PEDRO";7;7;7;7;7;7;7;7;7;7;7;7
"241280 SAO RAFAEL";9;9;9;9;9;9;9;9;9;9;9;9
"241290 SAO TOME";11;11;11;11;11;11;11;11;11;11;11;11
"241300 SAO VICENTE";7;7;7;7;7;7;7;7;7;7;7;7
"241310 SENADOR ELOI DE SOUZA";7;7;7;7;7;7;7;7;7;7;7;7
"241320 SENADOR GEORGINO AVELINO";5;5;5;5;5;5;5;5;5;5;5;5
"241330 SERRA DE SAO BENTO";7;7;7;7;7;7;7;7;7;7;7;7
"241335 SERRA DO MEL";11;11;11;11;12;12;12;12;12;12;12;12
"241340 SERRA NEGRA DO NORTE";7;7;7;7;7;7;7;7;7;7;7;7
"241350 SERRINHA";7;7;7;7;7;7;7;7;7;7;7;7
"241355 SERRINHA DOS PINTOS";5;5;5;5;5;5;5;5;5;5;5;5
"241360 SEVERIANO MELO";9;9;9;9;9;9;9;9;9;9;9;9
"241370 SITIO NOVO";6;6;6;6;6;6;6;6;6;6;6;6
"241380 TABOLEIRO GRANDE";3;3;3;3;3;3;3;3;3;3;3;3
"241390 TAIPU";11;11;11;11;11;11;11;11;11;11;11;11
"241400 TANGARA";14;14;14;14;14;14;14;14;14;14;15;16
"241410 TENENTE ANANIAS";11;11;11;11;11;11;11;11;11;11;11;11
"241415 TENENTE LAURENTINO CRUZ";7;7;7;7;7;7;7;7;7;7;7;7
"241420 TIBAU DO SUL";15;15;15;15;15;15;15;15;15;15;15;15
"241430 TIMBAUBA DOS BATISTAS";3;3;3;3;3;3;3;3;3;3;3;3
"241440 TOUROS";36;36;36;36;36;36;36;36;36;36;36;37
"241445 TRIUNFO POTIGUAR";5;5;5;5;5;5;5;5;5;5;5;5
"241450 UMARIZAL";11;11;11;11;11;11;11;11;11;11;11;11
"241460 UPANEMA";14;14;14;14;14;16;16;16;16;16;16;16
"241470 VARZEA";6;6;6;6;6;6;6;6;6;6;6;6
"241475 VENHA-VER";5;5;5;5;5;5;5;5;5;5;5;5
"241480 VERA CRUZ";12;12;12;12;12;13;13;13;13;13;13;13
"241490 VICOSA";3;3;3;3;3;3;3;3;3;3;3;3
"241500 VILA FLOR";3;3;3;3;3;3;3;3;3;3;3;3
"250010 AGUA BRANCA";14;14;14;14;14;14;14;14;14;14;14;14
"250020 AGUIAR";6;6;6;7;7;7;7;7;7;7;7;7
"250030 ALAGOA GRANDE";21;21;21;21;21;21;21;21;21;21;22;22
"250040 ALAGOA NOVA";21;21;21;21;21;21;21;21;21;21;21;21
"250050 ALAGOINHA";16;15;16;16;17;17;17;17;17;17;17;17
"250053 ALCANTIL";9;9;9;9;9;9;9;9;9;9;9;9
"250057 ALGODAO DE JANDAIRA";3;3;3;3;3;3;3;3;3;3;3;3
"250060 ALHANDRA";19;19;19;19;19;19;19;19;19;19;19;19
"250070 SAO JOAO DO RIO DO PEIXE";20;20;20;20;20;22;22;22;22;22;22;22
"250073 AMPARO";3;3;3;3;3;3;3;3;3;3;3;3
"250077 APARECIDA";10;10;10;10;10;10;10;10;10;10;10;10
"250080 ARACAGI";19;19;19;19;19;19;19;19;19;19;19;19
"250090 ARARA";13;13;13;13;13;13;13;13;13;13;13;13
"250100 ARARUNA";17;17;17;17;17;17;17;17;17;17;17;17
"250110 AREIA";25;25;25;25;25;25;25;25;25;25;25;25
"250115 AREIA DE BARAUNAS";3;3;3;3;3;3;3;3;3;3;3;3
"250120 AREIAL";7;7;7;7;7;7;7;7;7;7;7;7
"250130 AROEIRAS";21;21;21;21;21;22;22;22;22;22;22;22
"250135 ASSUNCAO";5;5;5;5;5;5;5;5;5;5;5;5
"250140 BAIA DA TRAICAO";10;10;10;10;11;11;11;11;11;11;11;11
"250150 BANANEIRAS";21;21;21;21;21;21;21;21;21;21;21;21
"250153 BARAUNA";5;5;5;5;5;5;5;5;5;5;5;5
"250157 BARRA DE SANTANA";9;9;9;9;9;9;9;9;9;9;9;9
"250160 BARRA DE SANTA ROSA";15;15;15;15;15;15;15;15;15;15;15;15
"250170 BARRA DE SAO MIGUEL";7;7;7;7;7;7;7;7;7;7;7;7
"250180 BAYEUX";63;63;63;63;63;63;63;63;63;63;63;63
"250190 BELEM";20;20;20;20;20;20;20;20;20;20;20;20
"250200 BELEM DO BREJO DO CRUZ";9;9;9;9;9;9;9;9;9;9;8;8
"250205 BERNARDINO BATISTA";5;5;5;5;5;5;5;5;5;5;5;5
"250210 BOA VENTURA";9;9;9;9;9;9;9;9;9;9;9;9
"250215 BOA VISTA";6;6;6;6;6;6;7;7;7;7;7;7
"250220 BOM JESUS";2;2;2;2;2;3;3;3;3;3;3;3
"250230 BOM SUCESSO";5;5;5;5;5;5;5;5;5;5;5;5
"250240 BONITO DE SANTA FE";12;12;12;12;12;13;13;13;13;13;13;13
"250250 BOQUEIRAO";19;19;19;19;19;19;19;19;19;19;19;19
"250260 IGARACY";7;7;7;7;7;7;7;7;7;7;7;7
"250270 BORBOREMA";7;7;7;7;7;7;7;7;7;7;7;7
"250280 BREJO DO CRUZ";15;15;15;15;15;16;16;16;16;16;16;16
"250290 BREJO DOS SANTOS";6;6;6;6;6;6;8;8;8;8;8;8
"250300 CAAPORA";21;21;20;20;20;20;20;20;21;21;21;21
"250310 CABACEIRAS";7;7;7;7;7;7;7;7;7;7;7;7
"250320 CABEDELO";49;49;49;49;49;50;50;50;50;50;50;50
"250330 CACHOEIRA DOS INDIOS";11;11;11;11;11;11;11;11;11;11;11;11
"250340 CACIMBA DE AREIA";5;5;5;5;5;5;5;5;5;5;5;5
"250350 CACIMBA DE DENTRO";15;15;15;15;15;16;16;16;16;16;16;16
"250355 CACIMBAS";8;8;8;8;8;9;10;10;10;10;10;10
"250360 CAICARA";7;7;7;7;7;7;7;7;7;7;7;7
"250370 CAJAZEIRAS";63;63;63;63;63;65;65;66;66;66;66;66
"250375 CAJAZEIRINHAS";4;4;4;4;4;5;5;5;5;5;5;5
"250380 CALDAS BRANDAO";7;7;7;7;7;7;7;7;7;7;7;7
"250390 CAMALAU";5;5;5;5;5;5;5;5;5;5;5;5
"250400 CAMPINA GRANDE";197;197;197;197;197;198;199;199;199;200;200;201
"250403 CAPIM";6;6;6;6;6;7;7;7;7;7;7;7
"250407 CARAUBAS";4;4;4;4;4;4;5;5;5;5;5;5
"250410 CARRAPATEIRA";3;3;3;3;3;3;3;3;3;3;3;3
"250415 CASSERENGUE";10;10;10;10;10;10;10;10;10;10;10;10
"250420 CATINGUEIRA";5;5;5;5;5;5;5;5;5;5;5;5
"250430 CATOLE DO ROCHA";20;20;20;20;20;21;21;21;21;22;22;22
"250435 CATURITE";5;5;5;5;7;7;7;7;7;7;7;7
"250440 CONCEICAO";23;23;22;21;21;22;23;23;23;23;23;23
"250450 CONDADO";7;7;7;7;7;7;7;7;7;7;7;7
"250460 CONDE";23;23;23;23;25;25;25;25;25;25;25;25
"250470 CONGO";5;5;5;5;5;5;5;5;5;5;5;5
"250480 COREMAS";21;21;21;21;21;22;22;22;22;22;22;22
"250485 COXIXOLA";2;2;2;2;2;2;3;3;3;3;3;3
"250490 CRUZ DO ESPIRITO SANTO";14;14;14;14;15;15;15;17;17;17;17;17
"250500 CUBATI";11;11;11;11;11;11;11;11;11;11;11;11
"250510 CUITE";23;23;23;23;23;23;23;23;23;23;23;23
"250520 CUITEGI";7;7;7;7;7;7;7;7;7;7;7;7
"250523 CUITE DE MAMANGUAPE";7;7;7;7;7;7;7;7;7;7;7;7
"250527 CURRAL DE CIMA";7;7;7;7;7;7;7;7;7;7;7;7
"250530 CURRAL VELHO";2;2;2;2;2;2;3;3;3;3;3;3
"250535 DAMIAO";6;6;6;6;6;6;6;6;6;6;6;6
"250540 DESTERRO";9;8;8;8;8;9;9;9;9;9;9;9
"250550 VISTA SERRANA";5;5;5;5;5;5;5;5;5;5;5;5
"250560 DIAMANTE";7;7;7;7;7;7;7;7;7;7;7;7
"250570 DONA INES";11;11;11;11;11;11;11;11;11;11;11;11
"250580 DUAS ESTRADAS";5;5;5;5;5;5;5;5;5;5;5;5
"250590 EMAS";5;5;5;5;5;5;5;5;5;5;5;5
"250600 ESPERANCA";32;32;33;33;33;35;35;35;36;36;36;36
"250610 FAGUNDES";12;12;12;12;12;13;13;13;13;13;13;13
"250620 FREI MARTINHO";3;3;3;3;3;3;3;3;3;3;3;3
"250625 GADO BRAVO";9;9;9;9;9;9;9;9;9;9;9;9
"250630 GUARABIRA";45;45;45;45;46;46;46;46;46;46;46;46
"250640 GURINHEM";15;15;15;15;15;17;17;17;17;17;17;17
"250650 GURJAO";4;4;4;4;4;4;4;5;5;5;5;5
"250660 IBIARA";6;6;6;6;6;7;7;7;7;7;7;7
"250670 IMACULADA";14;14;14;14;14;16;16;15;15;15;15;15
"250680 INGA";21;21;21;22;22;22;22;22;22;22;22;22
"250690 ITABAIANA";25;25;25;25;25;25;25;25;25;25;25;25
"250700 ITAPORANGA";23;23;23;23;23;23;23;23;23;23;23;23
"250710 ITAPOROROCA";15;15;15;15;15;15;15;15;15;15;15;15
"250720 ITATUBA";11;11;11;11;11;11;11;11;11;11;11;11
"250730 JACARAU";15;15;15;15;16;16;16;16;16;16;16;16
"250740 JERICO";7;7;7;7;7;7;7;7;7;7;7;7
"250750 JOAO PESSOA";448;448;452;452;452;438;438;438;439;440;440;440
"250760 JUAREZ TAVORA";9;9;9;9;9;9;9;9;9;9;9;9
"250770 JUAZEIRINHO";19;19;19;19;19;19;20;20;20;20;20;20
"250780 JUNCO DO SERIDO";7;7;7;7;7;7;7;7;7;7;7;7
"250790 JURIPIRANGA";13;13;13;13;13;13;13;13;13;13;13;13
"250800 JURU";10;10;10;10;10;10;10;10;10;10;11;11
"250810 LAGOA";5;5;5;5;5;5;5;5;5;5;5;5
"250820 LAGOA DE DENTRO";9;9;9;9;9;9;9;9;9;9;9;9
"250830 LAGOA SECA";29;29;29;29;29;29;29;29;29;29;29;29
"250840 LASTRO";3;3;3;3;3;3;3;3;3;3;3;3
"250850 LIVRAMENTO";7;7;7;7;7;7;7;7;7;7;7;7
"250855 LOGRADOURO";6;6;6;6;6;6;6;6;6;6;6;6
"250860 LUCENA";13;13;13;13;13;13;13;13;13;13;13;13
"250870 MAE D'AGUA";4;4;4;4;4;5;5;5;5;5;5;5
"250880 MALTA";7;7;7;7;7;6;6;7;7;7;7;7
"250890 MAMANGUAPE";40;40;40;40;40;40;40;40;40;41;41;41
"250900 MANAIRA";9;9;9;9;9;10;10;10;10;10;10;10
"250905 MARCACAO";9;9;10;10;10;10;10;10;10;10;10;10
"250910 MARI";23;23;23;23;23;25;25;25;25;25;25;25
"250915 MARIZOPOLIS";6;6;6;6;6;6;6;7;7;7;7;7
"250920 MASSARANDUBA";15;15;15;15;15;15;15;15;15;15;15;15
"250930 MATARACA";9;9;9;9;9;9;9;9;9;9;9;9
"250933 MATINHAS";5;5;5;5;5;5;5;5;5;5;5;5
"250937 MATO GROSSO";3;3;3;3;3;3;3;3;3;3;3;3
"250939 MATUREIA";8;8;8;8;8;8;8;8;8;8;8;8
"250940 MOGEIRO";15;15;15;15;15;15;15;15;15;15;15;15
"250950 MONTADAS";7;7;7;7;7;7;7;7;7;7;7;7
"250960 MONTE HOREBE";5;5;5;5;5;5;5;5;5;5;5;5
"250970 MONTEIRO";33;33;33;33;33;33;33;33;33;33;33;33
"250980 MULUNGU";12;12;12;12;12;12;12;12;12;12;12;12
"250990 NATUBA";11;11;11;11;11;11;11;11;11;11;11;11
"251000 NAZAREZINHO";9;9;9;9;9;9;9;9;9;9;9;9
"251010 NOVA FLORESTA";9;9;9;9;9;9;9;9;9;9;9;9
"251020 NOVA OLINDA";7;7;7;7;7;7;7;7;7;7;7;7
"251030 NOVA PALMEIRA";5;5;5;5;5;5;5;5;5;5;5;5
"251040 OLHO D'AGUA";7;7;7;7;7;7;7;7;7;7;7;7
"251050 OLIVEDOS";5;5;5;5;5;5;5;5;5;5;5;5
"251060 OURO VELHO";5;5;5;5;5;5;5;5;5;5;5;5
"251065 PARARI";3;3;3;3;3;3;3;3;3;3;3;3
"251070 PASSAGEM";3;3;3;3;3;3;3;3;3;3;3;3
"251080 PATOS";92;92;92;92;92;101;105;105;105;105;105;126
"251090 PAULISTA";13;13;13;13;13;13;13;13;13;13;13;13
"251100 PEDRA BRANCA";6;6;6;6;6;6;6;6;6;6;6;6
"251110 PEDRA LAVRADA";7;7;7;7;7;7;7;7;7;7;7;7
"251120 PEDRAS DE FOGO";28;28;28;28;28;30;30;30;30;30;30;30
"251130 PIANCO";20;20;20;20;20;21;21;21;21;21;21;21
"251140 PICUI";19;19;19;19;19;19;19;19;19;20;20;20
"251150 PILAR";15;15;15;15;15;14;14;14;14;14;14;14
"251160 PILOES";7;7;7;7;7;8;8;8;8;8;8;8
"251170 PILOEZINHOS";5;5;5;5;5;5;5;5;5;5;5;5
"251180 PIRPIRITUBA";9;9;9;9;9;9;9;9;9;9;9;9
"251190 PITIMBU";17;17;17;17;17;17;17;17;17;17;17;17
"251200 POCINHOS";19;19;19;19;19;19;19;19;19;19;19;19
"251203 POCO DANTAS";4;4;4;4;4;5;5;5;5;5;5;5
"251207 POCO DE JOSE DE MOURA";4;4;4;4;4;5;5;5;5;5;5;5
"251210 POMBAL";30;30;30;30;30;32;32;32;32;32;32;32
"251220 PRATA";5;5;5;5;5;5;5;5;5;5;5;5
"251230 PRINCESA ISABEL";26;26;26;26;26;26;26;26;26;26;26;26
"251240 PUXINANA";14;14;15;15;15;15;15;15;15;15;15;15
"251250 QUEIMADAS";40;38;40;40;40;40;40;40;40;40;40;40
"251260 QUIXABA";4;4;4;4;4;4;4;4;4;4;4;4
"251270 REMIGIO";19;19;19;19;19;19;19;19;19;19;19;19
"251272 PEDRO REGIS";7;7;7;7;7;7;7;7;7;7;7;7
"251274 RIACHAO";5;5;5;5;5;5;5;5;5;5;5;5
"251275 RIACHAO DO BACAMARTE";5;5;5;5;5;5;5;5;5;5;5;5
"251276 RIACHAO DO POCO";4;4;4;4;4;5;5;5;5;5;5;5
"251278 RIACHO DE SANTO ANTONIO";3;3;3;3;3;3;3;3;3;3;3;3
"251280 RIACHO DOS CAVALOS";6;6;6;6;6;6;7;7;7;7;7;7
"251290 RIO TINTO";20;20;20;20;20;20;20;20;20;20;20;20
"251300 SALGADINHO";5;5;5;5;5;5;5;5;5;5;5;5
